alpha
-1.29688
-1.29688
-2.35786
-2.17866
-1.04867
-0.0596213
0.219573
1.64453
1.52532
1.42135
2.70356
2.69913
1.38224
1.37905
1.33625
0.66212
0.327831
0.0200948
-0.31761
-0.629727
-1.26925
-1.28466
-1.31231
-1.31894
-0.660315
-0.657867
-0.322414
-0.0801791
0.316318
0.628997
0.636237
0.640282
0.641718
0.642473
0.321133
0.319821
-0.161251
-0.678382
-0.0407368
-0.161059
-0.631334
-0.631187
-0.0399483
-0.00501066
0.0786676
0.313031
0.313958
0.315466
0.31652
0.0792347
0.0393698
0.0392314
0.00489686
-0.156055
0.0195434
-0.0785918
-0.0391498
-0.313275
0.0392049
-0.157291
-0.0392761
-0.313261
-0.0783251
0.0197684
0.0783089
-0.312518
-0.313952
-0.0197881
0.63172
10.0629
11.1155
12.4552
13.0027
13.7344
14.0036
14.347
14.5997
14.664
14.6808
14.6866
14.6893
7.36007
7.18768
6.85784
0.822258
-1.58441
-1.51893
-5.68097
-11.2656
-11.6617
-12.427
-12.8812
-13.5776
-14.1317
-14.3594
-7.28294
-7.32681
-6.94985
-6.63987
-6.45557
-3.14492
-3.05365
-2.9543
-2.85594
-1.40633
-1.39592
-1.3483
-0.665414
0.0412761
0.647371
2.54993
2.57148
2.68828
5.52142
5.63517
5.98281
3.05487
3.01091
2.93003
2.84823
2.80357
1.39949
1.38603
0.672656
0.663102
0.0808807
-0.641506
-0.633387
-1.28138
-1.29524
-2.62041
-2.67316
-2.72294
-2.76867
-2.78185
2.79199
2.789
2.78667
2.78951
2.79089
2.78537
1.39709
-0.170608
-1.32924
-1.28688
-2.63082
-5.30511
-5.50805
-5.87941
-6.04086
-6.13968
-3.07982
-3.04961
-2.90873
-1.41375
-1.39038
-0.334739
0.330225
1.27957
1.2895
1.31029
1.31897
1.32109
1.32134
1.32135
1.32255
0.661055
0.328894
-0.080719
-0.632483
-1.2623
-1.28214
-1.34807
-1.43462
-1.39057
-1.35319
-1.32798
-0.664061
-0.664309
-0.324159
0.00499679
0.63882
0.637004
0.638128
0.641228
0.646474
0.643163
0.642174
0.646861
0.644681
0.642978
0.323145
0.321078
0.158393
0.0790889
-0.158436
-0.313974
-0.000615273
-0.0198805
-0.314593
-0.0195793
0.00493501
0.0393657
0.311756
0.313266
0.635259
0.636262
0.639359
1.28548
1.29565
1.32051
1.31815
1.32856
1.32712
1.31979
1.32752
1.32835
1.31929
1.32867
0.661261
0.656738
0.648651
0.32258
0.160123
-0.159335
-0.316647
-0.315481
-0.157765
-10.1426
-10.1393
-10.7195
-12.0098
-12.5387
-13.221
-13.801
-14.3271
-14.6216
-14.626
-7.35773
-7.26826
-3.46171
-1.64768
3.1055
11.6389
11.6515
12.3294
13.0858
13.8759
14.2235
14.5443
7.35494
-7.26361
-13.8435
-13.4686
-14.2618
-14.4982
-14.6257
-7.34152
-7.32755
-6.915
-6.59933
-0.399678
-0.393499
2.92207
11.0112
11.3494
11.6062
12.5266
0.104132
0.0262933
0.0968086
0.011541
0.347179
10.4824
10.5372
11.6649
12.805
6.80304
7.00808
6.5911
6.39099
3.11853
3.06221
1.45598
0.0440269
0.0427431
-1.29475
-2.53476
-2.60285
-2.7409
-2.78996
