time,Velocidade (media),Ângulo Máximo (media)
17.201,7.999585,19.9901
17.3,8.01414,19.96495
17.37,7.99591,20.0197
17.468,7.98815,20.01635
17.535,8.00634,19.9708
17.601,8.00575,19.9902
17.701,7.99275,20.0174
17.769,7.99929,19.9909
17.869,8.00628,19.97785
17.935,8.001575,19.99595
18.001,8.000815,19.99265
18.101,7.92429,20.11365
18.169,7.71712,20.7
18.268,7.72398,20.77265
18.335,7.84011,20.4232
18.4,7.720295,20.72425
18.468,7.607125,21.03045
18.534,7.59691,21.0612
