time,Velocidade (media),Ângulo Máximo (media)
15.868,7.937645,20.1845
15.937,7.91106,20.27105
16.007,7.86469,20.34435
16.103,7.828655,20.40995
16.207,7.80941,20.5136
16.268,7.759335,20.64905
16.336,7.654065,20.9104
16.436,7.589595,21.10355
16.503,7.581115,21.1224
16.604,7.580945,21.1224
16.704,7.558965,21.18105
16.768,7.5554,21.1972
16.867,7.5554,21.1972
16.906,7.5554,21.1972
17.004,7.57738,21.13855
17.1,7.589425,21.11265
17.168,7.62898,21.0621
17.267,7.70044,20.8862
17.302,7.74154,20.70095
17.408,7.800325,20.57045
17.469,7.852015,20.4453
17.568,7.855055,20.34
17.635,7.855055,20.34
17.702,7.855055,20.34
17.803,7.855055,20.34
17.902,7.855055,20.34
17.971,7.65228,20.8621
18.039,6.96845,22.7293
18.135,6.291785,24.5485
18.205,5.81538,25.75975
18.271,5.335445,27.02205
18.37,4.949765,28.12805
18.436,4.949765,28.1739
18.502,4.949765,28.1739
18.571,4.949765,28.1739
18.667,4.949765,28.1739
18.735,4.99018,28.1739
18.806,5.45009,27.0283
18.869,5.68059,26.2673
18.936,5.68059,26.2673
19.002,5.68059,26.2673
19.067,5.68059,26.2673
19.167,5.68059,26.2673
19.238,5.368605,26.96175
19.302,5.124,27.71935
19.407,5.124,27.71935
19.467,4.938105,28.09945
19.504,4.810465,28.48535
19.605,4.72497,28.76
19.667,4.646215,29.0254
19.768,4.625945,29.07145
19.841,4.646215,29.0254
19.905,4.72497,28.76
19.967,4.99636,28.10525
20.067,5.006775,28.0918
20.135,5.006775,28.0918
20.207,5.430975,27.02865
20.269,5.79522,25.98835
20.339,6.08216,25.38165
20.404,6.159355,25.1186
20.467,6.159355,25.1186
20.538,6.159355,25.1186
20.611,6.22333,24.91815
20.667,6.46976,24.2095
20.767,6.7398,23.5063
20.835,6.7398,23.42425
20.905,6.7398,23.42425
20.967,6.700985,23.48295
21.036,6.454555,24.2095
21.107,6.454555,24.2095
21.204,6.454555,24.2095
21.309,6.454555,24.2095
21.368,6.315995,24.6
21.435,6.052275,25.2561
21.507,6.052275,25.2561
21.606,6.052275,25.2561
21.705,6.052275,25.2561
21.806,6.052275,25.2561
21.903,6.263655,24.72295
22.005,6.57839,23.8967
22.105,6.930565,22.91875
22.201,7.16849,22.2345
22.304,7.204245,22.12345
22.37,7.26618,21.9272
22.435,7.30787,21.90585
22.504,7.34956,21.8845
22.606,7.506305,21.35365
22.709,7.66305,20.8228
22.769,7.464615,21.375
22.836,7.26618,21.9272
22.969,7.204245,22.12345
23.069,7.14231,22.3197
