Distância do AP
5.31405
5.32057
5.31298
5.91839
6.58191
7.04742
7.04742
7.85332
8.44746
8.77771
9.10715
9.06698
9.06698
9.00248
9.23237
9.15181
9.36936
9.3056
9.3056
9.56004
9.51045
9.50593
9.21432
9.21432
9.25134
9.29197
9.34872
9.41682
9.45576
9.45576
9.48751
9.22479
9.19937
9.18483
9.47058
9.47058
9.42734
9.40105
9.08927
9.37858
9.38673
9.38673
9.37455
9.38831
9.39922
9.44088
9.44397
9.44479
9.45305
9.45305
9.45094
9.43854
9.41217
9.41217
9.41065
9.4093
9.40905
9.40305
9.41236
9.40341
9.40341
9.39805
9.41062
9.41711
9.42188
9.42188
9.43769
9.42415
9.4297
9.83049
9.82073
9.82073
9.20692
8.62524
8.46732
8.46732
7.9867
7.9867
7.73196
7.62827
7.62827
7.70724
7.76509
7.76509
7.63453
8.18901
8.46322
8.46322
8.90417
8.90417
9.44196
9.47265
8.84734
8.84734
8.25474
7.92362
7.92362
7.87315
7.87902
7.87902
8.11987
8.56201
8.56201
8.89405
9.40891
9.3597
9.3597
9.59286
9.59286
9.76429
9.87633
9.87633
9.69955
9.54579
9.34675
9.06221
9.06221
9.27025
9.45588
9.45588
9.38165
9.32739
9.32739
9.57929
9.5513
9.5513
9.5766
9.6516
9.6516
9.43597
9.29703
9.29703
9.21444
8.91016
8.93824
8.93824
8.9615
8.87081
9.0168
9.06454
9.06454
8.9755
8.88759
9.28593
9.16839
8.87324
8.87324
8.40083
8.11482
8.24724
8.09575
8.09575
8.53882
8.92594
8.91151
9.23372
9.23372
9.05115
9.23361
9.31601
9.33471
9.23327
9.23327
9.09537
9.38337
9.18813
8.99368
9.22995
9.22995
9.04709
9.43492
8.93747
8.93747
8.52733
9.04112
9.12291
9.12291
9.24842
8.95735
9.14392
9.3379
9.3379
9.4828
9.56222
9.06094
9.08483
9.06955
9.51478
9.46899
9.40633
9.40633
9.35781
9.27343
9.23527
9.15841
9.11112
9.11112
9.09597
9.17115
9.2895
9.37652
9.37652
9.47743
9.59217
9.16942
9.3105
9.3105
9.45898
9.56521
9.11788
9.13476
9.16814
9.16814
9.12401
9.03867
8.95587
9.35336
9.35336
9.23491
9.10725
9.46375
9.3013
9.3013
9.18772
9.09878
9.58403
9.53589
9.88665
9.88665
9.44589
9.36258
8.79709
8.79709
8.32642
8.16673
7.81497
7.81497
7.74938
7.5925
7.5925
7.8391
8.54385
8.85375
8.85375
8.85707
8.38138
8.38138
8.00547
7.76704
7.72969
7.72969
7.84481
8.1642
8.3323
8.3323
8.09717
7.86715
7.65226
7.65226
7.71127
7.8028
7.8028
8.00927
8.27994
8.52537
8.52537
8.16354
7.42688
7.42688
7.20392
7.74537
8.28756
8.62676
8.62676
8.78888
8.25261
7.54582
7.49265
7.0609
7.69556
8.03319
8.07643
8.46916
8.78577
8.78577
9.1741
9.34318
9.55953
9.19697
9.22778
8.99131
