Time,Pontos Detectados (frente),Pontos Detectados (trás),Deteção frontal ativa,Deteção traseira ativa
16.234,0,0,1,1
16.335,0,0,1,1
16.4,0,0,1,1
16.468,0,0,1,1
16.568,0,0,1,1
16.672,0,0,1,1
16.735,0,0,1,1
16.834,0,0,1,1
16.901,0,0,1,1
16.968,0,0,1,1
17.068,0,0,1,1
17.167,0,0,1,1
17.235,0,0,1,1
17.268,0,0,1,1
17.368,0,0,1,1
17.468,0,0,1,1
17.535,0,0,1,1
17.601,0,0,1,1
17.668,0,0,1,1
17.769,0,0,1,1
17.868,0,0,1,1
17.935,0,0,1,1
18.002,0,0,1,1
18.1,0,0,1,1
18.168,0,0,0,1
18.268,0,0,0,1
18.334,0,0,0,1
18.403,0,0,0,1
18.467,0,0,0,1
18.568,0,0,0,1
18.634,0,0,0,1
18.701,0,0,0,1
18.769,0,0,0,1
18.838,0,0,0,1
18.9,0,0,0,1
18.967,0,0,0,1
19.067,0,0,0,1
19.136,0,0,0,1
19.203,0,0,0,1
19.3,0,0,0,1
19.367,0,0,0,1
19.434,0,0,0,1
19.501,0,0,0,1
19.567,0,0,0,1
19.667,0,0,0,1
19.736,0,0,0,1
19.801,0,0,0,0
19.867,0,0,0,0
19.967,0,0,0,0
20.035,0,0,0,0
20.1,0,0,0,0
20.167,0,0,0,0
20.267,0,0,0,0
20.335,0,0,0,0
20.402,0,0,0,0
20.467,0,0,0,0
20.535,0,0,0,0
20.603,0,0,0,0
20.667,0,0,0,0
20.735,0,0,0,0
20.801,0,0,0,0
20.867,0,0,0,0
20.967,0,0,0,0
21.002,0,0,0,0
21.101,0,0,0,0
21.167,0,0,0,0
21.267,0,0,0,0
21.335,0,0,0,0
21.401,0,0,0,0
21.501,0,0,0,0
21.567,0,0,0,0
21.668,0,0,0,0
21.769,0,0,0,0
21.868,0,0,0,0
21.967,0,0,0,0
22.068,0,0,0,0
22.167,0,0,0,0
22.268,0,0,0,0
