Tempo,Distância do AP,Velocidade,Via
13.772,8.52733,6.9272,0
13.873,9.04112,7.16828,0
13.942,9.12291,7.38677,0
14.004,9.12291,7.52052,0
14.106,9.24842,7.55042,0
14.175,8.95735,7.54272,0
14.274,9.14392,7.71555,0
14.339,9.3379,7.84025,0
14.409,9.3379,7.87097,0
14.508,9.4828,7.84073,0
14.573,9.56222,7.82314,0
14.667,9.06094,7.80932,0
14.739,9.08483,7.74933,0
14.807,9.06955,7.77093,0
14.909,9.51478,7.80595,0
14.972,9.46899,7.74673,0
15.072,9.40633,7.75622,0
15.138,9.40633,7.79958,0
15.21,9.35781,7.7512,0
15.311,9.27343,7.79531,0
15.411,9.23527,7.88905,0
15.478,9.15841,7.91336,0
15.54,9.11112,7.91546,0
15.611,9.11112,7.96074,0
15.714,9.09597,7.94489,0
15.775,9.17115,7.87053,0
15.872,9.2895,7.94547,0
15.94,9.37652,7.96991,0
16.013,9.37652,7.93236,0
16.116,9.47743,7.94293,0
16.211,9.59217,7.98516,0
16.268,9.16942,7.97939,0
16.339,9.3105,7.88976,0
16.44,9.3105,7.83962,0
16.505,9.45898,7.81769,0
16.611,9.56521,7.80113,0
16.713,9.11788,7.71754,0
16.779,9.13476,7.57363,0
16.867,9.16814,7.5886,0
16.909,9.16814,7.5443,0
17.011,9.12401,7.52953,0
17.107,9.03867,7.59059,0
17.172,8.95587,7.54324,0
17.268,9.35336,7.52413,0
17.307,9.35336,7.58826,0
17.413,9.23491,7.54329,0
17.475,9.10725,7.5665,0
17.574,9.46375,7.6697,0
17.64,9.3013,7.73118,0
17.705,9.3013,7.7519,0
17.809,9.18772,7.84875,0
17.911,9.09878,7.85528,0
17.972,9.58403,7.9025,0
18.04,9.53589,7.90873,0
18.14,9.88665,7.93366,1
18.21,9.88665,7.90127,1
18.272,9.44589,7.85483,1
18.372,9.36258,7.44973,1
18.439,8.79709,6.48717,1
18.515,8.79709,6.0964,1
18.574,8.32642,5.53436,1
18.668,8.16673,5.13653,1
18.737,7.81497,4.763,1
18.811,7.81497,4.5598,1
18.875,7.74938,4.55719,1
18.94,7.5925,4.48997,1
19.005,7.5925,4.63054,1
19.068,7.8391,5.21736,1
19.168,8.54385,5.68282,1
19.241,8.85375,6.2736,1
19.308,8.85375,6.80876,1
19.411,8.85707,6.71533,1
19.468,8.38138,6.25894,1
19.509,8.38138,5.67836,1
19.613,8.00547,5.05885,1
19.667,7.76704,4.81736,1
19.768,7.72969,4.60583,2
19.841,7.72969,4.49349,2
19.908,7.84481,4.64606,2
19.968,8.1642,5.18915,2
20.069,8.3323,5.36332,2
20.139,8.3323,4.80357,2
20.216,8.09717,4.64637,2
20.271,7.86715,4.54434,2
20.34,7.65226,4.51173,2
20.408,7.65226,4.55328,2
20.467,7.71127,5.20998,2
20.54,7.8028,5.65197,2
20.617,7.8028,5.93847,2
20.669,8.00927,6.22585,2
20.769,8.27994,6.80325,2
20.836,8.52537,7.24387,2
20.908,8.52537,6.96121,2
20.968,8.16354,6.76593,2
21.04,7.42688,6.09286,2
21.116,7.42688,5.47952,2
21.208,7.20392,5.44691,2
21.314,7.74537,6.22081,2
21.368,8.28756,6.71367,2
21.44,8.62676,7.23669,2
21.512,8.62676,7.64457,2
21.611,8.78888,7.49358,2
21.709,8.25261,6.6883,2
21.815,7.54582,5.89364,2
21.911,7.49265,5.20418,2
22.015,7.0609,5.06661,2
22.113,7.69556,5.68631,2
22.212,8.03319,5.94369,2
22.309,8.07643,6.16086,2
22.37,8.46916,6.36645,2
22.436,8.78577,6.79033,2
22.509,8.78577,7.0708,2
22.612,9.1741,7.34956,2
22.714,9.34318,7.74164,2
22.77,9.55953,7.81979,2
22.843,9.19697,7.66305,2
22.97,9.22778,7.26618,2
23.069,8.99131,7.14231,2
