Tempo,Distância do AP (media),Velocidade (media),Via
15.775,9.34351,7.937645,0
15.872,9.37652,7.937645,0
15.94,9.37652,7.91106,0
16.013,9.34351,7.86469,0
16.116,9.3105,7.828655,0
16.211,9.23996,7.80941,0
16.268,9.16878,7.759335,0
16.339,9.16814,7.654065,0
16.44,9.15145,7.589595,0
16.505,9.15145,7.581115,0
16.611,9.15145,7.580945,0
16.713,9.15145,7.558965,0
16.779,9.15145,7.5554,0
16.867,9.16814,7.5554,0
16.909,9.201525,7.5554,0
17.011,9.268105,7.57738,0
17.107,9.268105,7.589425,0
17.172,9.268105,7.62898,0
17.268,9.3013,7.70044,0
17.307,9.3013,7.74154,0
17.413,9.3013,7.800325,0
17.475,9.382525,7.852015,0
17.574,9.45482,7.855055,0
17.64,9.404235,7.855055,0
17.705,9.404235,7.855055,0
17.809,9.404235,7.855055,0
17.911,9.404235,7.855055,0
17.972,9.404235,7.65228,0
18.04,9.079835,6.96845,0
18.14,8.79709,6.291785,1
18.21,8.561755,5.81538,1
18.272,8.246575,5.335445,1
18.372,7.99085,4.949765,1
18.439,7.827035,4.949765,1
18.515,7.827035,4.949765,1
18.574,7.827035,4.949765,1
18.668,7.827035,4.949765,1
18.737,7.827035,4.99018,1
18.811,8.11024,5.45009,1
18.875,8.38138,5.68059,1
18.94,8.38138,5.68059,1
19.005,8.38138,5.68059,1
19.068,8.38138,5.68059,1
19.168,8.38138,5.68059,1
19.241,8.193425,5.368605,1
19.308,8.084835,5.124,1
19.411,8.084835,5.124,1
19.468,8.084835,4.938105,1
19.509,8.05132,4.810465,1
19.613,7.93631,4.72497,1
19.667,7.85598,4.646215,1
19.768,7.85598,4.625945,2
19.841,7.85598,4.646215,2
19.908,7.85598,4.72497,2
19.968,7.834975,4.99636,2
20.069,7.834975,5.006775,2
20.139,7.834975,5.006775,2
20.216,7.834975,5.430975,2
20.271,7.834975,5.79522,2
20.34,7.906035,6.08216,2
20.408,7.906035,6.159355,2
20.467,7.906035,6.159355,2
20.54,7.906035,6.159355,2
20.617,7.906035,6.22333,2
20.669,8.086405,6.46976,2
20.769,8.22174,6.7398,2
20.836,8.22555,6.7398,2
20.908,8.22555,6.7398,2
20.968,8.208075,6.700985,2
21.04,7.99899,6.454555,2
21.116,7.99899,6.454555,2
21.208,7.99899,6.454555,2
21.314,7.99899,6.454555,2
21.368,8.1429,6.315995,2
21.44,8.05481,6.052275,2
21.512,8.05481,6.052275,2
21.611,8.05481,6.052275,2
21.709,8.05481,6.052275,2
21.815,8.05481,6.052275,2
21.911,8.272795,6.263655,2
22.015,8.627465,6.57839,2
22.113,8.78577,6.930565,2
22.212,8.979935,7.16849,2
22.309,9.082705,7.204245,2
22.37,9.1741,7.26618,2
22.436,9.185535,7.30787,2
22.509,9.19697,7.34956,2
22.612,9.212375,7.506305,2
22.714,9.22778,7.66305,2
22.77,9.212375,7.464615,2
22.843,9.19697,7.26618,2
22.97,9.109545,7.204245,2
23.069,8.99131,7.14231,2
