Time,Distancia mínima aos obstáculos,Velocidade,Ângulo (deg)
9.48,1.77661,4.98462,0.07888065
9.548,1.77348,4.98462,0.07789315
9.615,1.7718,4.98462,0.07891795
9.68,1.78002,4.98462,0.044193765
9.747,1.77917,4.96593,0.044193765
9.815,1.77303,4.96593,0.077892
9.879,1.77064,4.96593,0.077892
9.948,1.77836,4.96593,0.077892
10.014,1.78116,4.970115,0.0776367
10.115,1.77961,4.970115,0.043636065
10.179,1.79256,4.970115,0.043636065
10.246,1.78405,4.970115,0.05853115
10.318,1.78481,4.970115,0.05853115
10.379,1.78514,4.970115,0.07733885
10.447,1.77695,4.972425,0.07733885
10.515,1.78166,4.969935,0.07764125
10.579,1.78438,4.969935,0.07764125
10.679,1.78905,4.969935,0.05856845
10.722,1.78273,4.94614,0.03976075
10.815,1.78292,4.969935,0.05856845
10.882,1.7862,4.94614,0.03976075
10.982,1.79559,4.969935,0.0397119
11.047,1.78902,4.953975,0.0297135
11.12,1.79656,4.958545,0.0297135
11.215,1.79575,4.96785,-0.0094692
11.28,1.79801,4.95189,-0.0094692
11.38,1.79056,4.987685,-0.0094692
11.447,1.7934,4.95189,0.0486665
11.514,1.79188,4.975595,0.07801925
11.58,1.79506,4.96859,0.1179056
11.68,1.79762,4.978135,0.157635
11.748,1.79112,4.966005,0.157635
11.849,1.79226,4.97334,0.158599
11.883,1.79732,4.978135,0.234523
11.981,1.79972,4.97334,0.234523
12.048,1.77798,4.978135,0.234469
12.113,1.80148,4.97334,0.1585605
12.213,1.80954,4.97792,0.1585605
12.283,1.8024,4.97542,0.1585605
12.381,1.79467,4.97321,0.157539
12.482,1.81449,4.97321,0.156326
12.547,1.79243,4.97321,0.11748685
12.614,1.78918,4.97779,0.049558
12.68,1.7946,4.95901,0.01952955
12.783,1.81627,4.97779,0.01209877
12.851,1.81094,4.95901,-0.01747588
12.913,1.81278,4.97779,-0.01747588
13.014,1.8041,4.95901,-0.01747588
13.081,1.80078,4.982485,0.00489874
13.182,1.79588,4.990475,-0.01747588
13.25,1.80749,4.95529,-0.0298055
13.314,1.801,4.990475,-0.00743088
13.413,1.8062,4.95529,-0.00743088
13.513,1.8074,4.990475,0.02189412
13.583,1.80744,4.95529,0.0393128
13.685,1.80752,4.990475,0.0588932
13.747,1.79921,4.95529,0.0588932
13.848,1.80912,4.990475,0.11643715
13.914,1.81542,4.96937,0.1550395
13.98,1.81663,4.96595,0.155724
14.149,1.80742,4.955525,0.1574425
14.28,1.81507,4.955525,0.1574425
14.48,1.81312,4.95586,0.155946
14.546,1.81915,4.9827,0.155946
14.613,1.82146,4.970195,0.155946
14.681,1.7979,4.946025,0.1562265
14.78,1.81994,4.972865,0.155515
14.848,1.81132,4.946025,0.1173928
14.913,1.82063,4.972865,0.07850335
15.016,1.81451,4.946025,0.04875335
15.114,1.82183,4.972865,0.009336195
15.179,1.81463,4.946025,0.009336195
15.248,1.8108,4.972865,0.04875335
15.347,1.81597,4.94526,0.04875335
15.414,1.81937,4.963545,0.04875335
15.515,1.82424,4.96196,0.04875335
15.582,1.81186,4.961855,0.11613805
15.683,1.81566,4.985845,0.1547735
15.782,1.81995,4.98128,0.155656
15.847,1.81751,4.98128,0.1565025
15.914,1.80421,4.97156,0.156744
16.025,1.79839,4.97156,0.156744
16.12,1.82012,4.97156,0.2352255
16.18,1.82157,4.97156,0.2352255
16.282,1.82887,4.96722,0.3137655
16.347,1.82173,4.97156,0.312084
16.414,1.8188,4.96722,0.3137655
16.519,1.81667,4.96722,0.3123185
16.579,1.82974,4.96479,0.3141005
16.68,1.81904,4.96479,0.3156045
16.818,1.83662,4.957265,0.3159135
16.88,1.83707,4.99353,0.317753
16.946,1.83245,4.95477,0.317753
17.017,1.8374,4.982425,0.317753
17.117,1.83726,4.98016,0.317676
17.182,1.8311,4.969135,0.317676
17.282,1.8327,4.989715,0.468513
17.38,1.83529,4.98208,0.620015
17.447,1.83499,4.98208,0.620015
17.515,1.83619,4.974975,0.6224475
17.618,1.82199,4.98208,0.6224475
17.715,1.82964,4.97988,0.624419
17.787,1.8348,4.98208,0.626259
17.882,1.83004,4.97988,0.628099
17.946,1.82869,4.98208,0.6293945
18.015,1.82853,4.97988,0.63069
18.116,1.83583,4.977175,0.6321925
18.216,1.82679,4.97007,0.633695
18.286,1.83607,4.975625,0.9387975
18.379,1.82417,4.9851,1.2439
